catnum,major_minor_code,course_title,course_desc,course_type,units,course_level,active_flag,create_date,last_update_date,updated_by_user_id,optimistic_lock,locked_by_user_id
PHYS-1020,PHY,Physics II: Electricity and Magnetism Laboratory,"Circuits containing resistors, capacitors, and inductors are built and measured, and magnetic fields, induction, and simple electromagnetic wave behavior are investigated using oscilloscopes and multimeters. Uncertainty is propagated through each measurement and compared against theoretical predictions. Written reports document circuit diagrams, collected data, and an analysis of discrepancies between measured and expected results. Laboratory companion to PHYS-1015.",LAB,2,1,t,,,,,
PHYS-2005,PHY,Modern Physics,"Special relativity, blackbody radiation, and the photoelectric effect motivate the shift from classical to quantum descriptions of matter and energy. The Bohr model, wave-particle duality, and the Schrodinger equation are applied to simple systems such as the hydrogen atom and a particle in a box. Nuclear structure and radioactive decay round out a survey of twentieth century physics that underlies later coursework in materials and devices.",LEC,4,2,t,,,,,
CHMY-1005,CHM,General Chemistry I,"Atomic structure, periodic trends, and chemical bonding introduce the models used to explain how atoms combine into molecules and extended solids. Stoichiometry, gas laws, and thermochemistry are applied to balanced reactions and energy calculations. Problem sets connect molecular level structure to the bulk properties of materials that later coursework in engineering and materials science builds on.",LEC,4,1,t,,,,,
CHMY-1010,CHM,General Chemistry I Laboratory,"Experiments cover titration, gravimetric analysis, calorimetry, and the synthesis and identification of simple compounds using standard glassware and balances. Each result is checked against a theoretical or accepted value, and sources of error are identified and quantified. Written reports present procedure, data, calculations, and a discussion of accuracy and precision. Laboratory companion to CHMY-1005.",LAB,2,1,t,,,,,
CHMY-1015,CHM,General Chemistry II,"Chemical equilibrium, acid base chemistry, and buffer systems extend the reaction concepts introduced in the first term to more realistic mixtures. Reaction kinetics and rate laws are developed alongside electrochemistry, including galvanic cells and the Nernst equation. Thermodynamic quantities such as entropy and free energy are used to predict whether a reaction proceeds spontaneously.",LEC,4,1,t,,,,,
CHMY-2005,CHM,Organic Chemistry,"Carbon based molecules are classified by functional group, and their structure is analyzed through naming conventions, isomerism, and stereochemistry. Reaction mechanisms for substitution, elimination, and addition explain how common functional groups transform under different conditions. Spectroscopic methods, including infrared and nuclear magnetic resonance, are introduced as tools for identifying unknown compounds.",LEC,4,2,t,,,,,
ENGR-1005,EGR,Introduction to Engineering,"Engineering as a discipline is introduced through the design process, from defining a problem and its constraints through concept generation, prototyping, and testing. Short team projects span several branches of engineering, giving a working sense of how mechanical, electrical, and civil problems are framed and solved differently. Basic tools for technical calculation, unit conversion, and estimation are practiced throughout.",LEC,4,1,t,,,,,
ENGR-1010,EGR,Computing for Engineers,"Programming fundamentals, including variables, control flow, functions, and arrays, are taught using a language common across engineering practice, then applied to problems in data analysis and simulation. Scripts are written to read data files, plot results, and automate repetitive calculations. Debugging strategies and basic version control practices prepare students for computational work in later coursework across every engineering discipline.",LEC,4,1,t,,,,,
ENGR-1015,EGR,Engineering Graphics and Design,"Orthographic projection, dimensioning, and sectioning are taught alongside computer aided drafting tools used to produce drawings that communicate a design unambiguously. Sketching by hand and building three dimensional models in software develop spatial reasoning needed across mechanical, civil, and electrical design work. Tolerancing and standard drawing conventions are covered so that a drawing can serve as a manufacturing or construction record.",LEC,4,1,t,,,,,
ENGR-2005,EGR,Statics,"Forces, moments, and couples acting on rigid bodies in equilibrium are analyzed using free body diagrams, vector methods, and the equations of static equilibrium. Trusses, frames, and machines are solved by the method of joints and the method of sections, and distributed loads are reduced to equivalent point forces. Centroids, moments of inertia, and friction round out the tools needed before a later course in mechanics of materials.",LEC,4,2,t,,,,,
ENGR-3005,EGR,Engineering Ethics and Professional Practice,"Case studies of real engineering failures and disputes introduce the professional codes of conduct that govern licensure, safety, and responsibility to the public. Topics include conflicts of interest, whistleblowing, intellectual property, and the obligations an engineer holds toward an employer, a client, and society at large. Students analyze scenarios with no clean answer and defend a recommended course of action in writing and in discussion.",LEC,4,3,t,,,,,
HUMN-1005,HUM,College Composition,"Essay writing is built up from thesis development and paragraph structure through revision and editing, with each assignment adding a new rhetorical demand. Readings drawn from a range of genres and arguments serve as models and as material for analysis and response. Peer review and written feedback carry each essay across multiple drafts before a final version is submitted.",LEC,4,1,t,,,,,
HUMN-1010,HUM,American History,"A survey of the political, economic, and social forces that shaped the nation from its founding through the twentieth century, read through primary documents alongside standard narrative accounts. Discussion sections weigh competing interpretations of major turning points rather than settling on a single account. The course gives engineers grounding in the civic and institutional context their later careers operate within.",LEC,4,1,t,,,,,
HUMN-1015,HUM,English Literature,"Close reading of poetry, drama, and prose from several periods sharpens the written and analytical communication skills every engineer eventually needs to explain a design decision or a failure. Students write a series of short critical essays rather than a single term paper, building the habit of a tight, well-supported argument. Discussion sections favor textual evidence over general impression.",LEC,4,1,t,,,,,
HUMN-2005,HUM,Technical Writing,"Reports, proposals, and instructions are drafted and revised with attention to audience, purpose, and the conventions specific to technical documents. Technical data is translated into tables, figures, and captions that support rather than repeat the surrounding text. Assignments build toward a final formal report that documents a technical process or a set of findings from start to finish.",LEC,4,2,t,,,,,
HUMN-2010,HUM,Introduction to Philosophy,"Central questions about knowledge, reality, and ethics are examined through primary readings spanning ancient to contemporary philosophy. Arguments are reconstructed premise by premise so that their validity can be evaluated independent of whether the conclusion feels persuasive. Recurring themes include the nature of free will, what makes an action right or wrong, and how a person can know anything with certainty.",LEC,4,2,t,,,,,
HUMN-2015,HUM,World History Since 1900,"Two world wars, decolonization, the Cold War, and accelerating globalization are traced through political, economic, and technological developments across multiple continents. Primary sources ranging from treaties to propaganda posters are read alongside standard historical narrative. Attention throughout goes to how technological change and global conflict have shaped one another over the past century.",LEC,4,2,t,,,,,
HUMN-3005,HUM,History of Science and Technology,"Institutions, instruments, and controversies are traced across the scientific revolution, the industrial revolution, and the rise of modern engineering disciplines. Case studies examine how a specific invention or discovery, from the steam engine to the transistor, changed the societies that adopted it. Funding, war, and commercial pressure are considered as forces that have historically directed the pace and direction of technical progress.",LEC,4,3,t,,,,,
HUMN-3010,HUM,Professional Communication,"Oral presentations, meeting facilitation, and workplace correspondence are practiced and critiqued alongside the written formats covered in earlier coursework. Technical presentations are prepared and delivered to a mixed audience, adapting depth and vocabulary to listeners with different backgrounds. Negotiation, giving and receiving feedback, and written communication across cultural and organizational contexts round out the course.",LEC,4,3,t,,,,,
SOCS-1005,SOC,Principles of Microeconomics,"Supply and demand, market equilibrium, and consumer and producer behavior are developed through graphical and basic algebraic models. Market structures from perfect competition to monopoly are compared, along with the effect of taxes, subsidies, and price controls on market outcomes. Case examples drawn from technology and manufacturing markets illustrate how firms actually behave under these models.",LEC,4,1,t,,,,,
SOCS-1010,SOC,Principles of Macroeconomics,"Gross domestic product, unemployment, and inflation are defined and tracked through the business cycle, along with the fiscal and monetary tools governments use to influence them. Aggregate supply and demand models explain how output and price levels respond to shocks and policy changes. International trade and exchange rates are introduced to show how domestic economies connect to a global market.",LEC,4,1,t,,,,,
SOCS-2005,SOC,Financial Accounting,"Balance sheets, income statements, and cash flow statements are built and read through practice with real and simulated companies. Coverage includes accrual accounting, depreciation methods, and the limits of accounting numbers as a picture of a company's health. Engineers who later manage budgets or evaluate vendors use the vocabulary and structure taught here.",LEC,4,2,t,,,,,
SOCS-2010,SOC,General Management,"Organizational structure, team leadership, and the practical mechanics of planning and running a project are covered through case discussions and a short simulation exercise. The same engineering decision is examined as it plays out differently under different management structures and incentive systems. The course prepares students to lead teams and manage tradeoffs, not just execute assigned tasks.",LEC,4,2,t,,,,,
SOCS-2015,SOC,Business Law,"Contracts, intellectual property, liability, and the basics of how businesses are legally structured are covered through case studies drawn from real disputes. Particular attention goes to how these issues arise in technology and engineering contexts, including patent disputes and product liability. Students learn to recognize when a decision carries legal exposure worth flagging to counsel, not to act as their own lawyer.",LEC,4,2,t,,,,,
SOCS-3005,SOC,Finance,"Time value of money, discounted cash flow analysis, capital budgeting, and the basics of how firms are valued and financed round out coverage of how organizations make and justify spending decisions. Problem sets require evaluating competing investment options under stated assumptions about risk and return. The course gives engineers the financial literacy to build a business case for a proposed project.",LEC,4,3,t,,,,,
SOCS-3010,SOC,Technology Policy and Regulation,"Regulatory frameworks governing telecommunications, data privacy, environmental standards, and emerging technologies are examined alongside the economic and political pressures that shape them. Case studies compare how different regulatory approaches have affected innovation and competition within a given industry. A current policy debate is evaluated and a position memo is drafted weighing competing stakeholder interests.",LEC,4,3,t,,,,,
SOCS-3015,SOC,Project Management,"Scope definition, scheduling, budgeting, and risk management are covered through the standard project lifecycle from initiation to closeout. Critical path analysis and resource leveling are practiced on sample schedules, and earned value techniques track cost and schedule performance against a baseline plan. Case studies of both successful and troubled projects illustrate common causes of schedule slip and cost overrun.",LEC,4,3,t,,,,,
AERO-1005,AER,Introduction to Aeronautics,"A broad first look at how airplanes fly and are designed, covering the four forces of flight, basic performance calculations for range and endurance, stability and control concepts, and a short history of aircraft configuration development. Simple hand calculations for climb rate, takeoff distance, and glide ratio give students a working vocabulary before more rigorous aerodynamics and performance courses. No prior aerospace coursework is assumed.",LEC,4,1,t,,,,,
AERO-1010,AER,Introduction to Aerospace Engineering Systems,"Surveys how an aircraft or spacecraft fits together as an integrated system: propulsion, structures, avionics, and controls, and the trade-offs engineers make when none of these subsystems can be optimized in isolation. Case studies of existing aircraft and small satellites illustrate how requirements flow down from mission need to subsystem specification. A term project has student teams size a simple vehicle concept against a stated mission requirement.",LEC,4,1,t,,,,,
AERO-1015,AER,Introduction to Aerospace Engineering Systems Laboratory,"Hands-on sessions build small subsystem demonstrations tied to the topics covered in lecture: a servo-actuated control surface, a simple avionics breadboard, and a scale structural mockup instrumented with strain gauges. Students disassemble and measure components, record subsystem performance data, and write short reports connecting bench results to the systems concepts covered that week. The course establishes report format and measurement habits that later laboratory courses build on directly. Laboratory companion to AERO-1010.",LAB,2,1,t,,,,,
AERO-2005,AER,Aerodynamics,"Covers the fundamentals of incompressible aerodynamics: airfoil theory, thin-airfoil and lifting-line approximations, boundary layer behavior, and the sources of lift and drag on wings and bodies. Potential flow solutions, pressure coefficients, and simple panel methods give students hand-calculation tools before any computational treatment. Problem sets connect theory to real airfoil geometries and wing planforms used in general aviation and early jet aircraft.",LEC,4,2,t,,,,,
AERO-2010,AER,Aerodynamics Laboratory,"Weekly sessions put airfoil theory to the test in a subsonic wind tunnel, where students map pressure distributions over cambered and symmetric sections and compare measured lift and drag against panel-method predictions. A force balance and smoke-wire flow visualization round out the toolkit for studying separation and stall. Each session ends in a short written report that checks lab data against the hand calculations from lecture, with attention to instrument calibration and measurement uncertainty. Laboratory companion to AERO-2005.",LAB,2,2,t,,,,,
AERO-2015,AER,Aerospace Structures,"Applies structural mechanics to the thin-walled, weight-critical construction typical of aircraft and spacecraft: stress analysis of stiffened panels, shear flow in open and closed sections, buckling of columns and plates, and an introduction to composite laminate behavior. Design problems use realistic wing and fuselage cross-sections rather than idealized beams. Margin of safety calculations are carried through as the course's running deliverable.",LEC,4,2,t,,,,,
AERO-2020,AER,Introduction to Gas Dynamics,"Covers compressible flow fundamentals: the speed of sound, isentropic flow relations, normal and oblique shock waves, and flow through converging-diverging nozzles. Students work through Fanno and Rayleigh flow problems and learn to read compressible flow tables before any computational treatment is introduced. The course sets up the physical vocabulary that propulsion and high-speed aerodynamics courses build on later.",LEC,4,2,t,,,,,
AERO-3005,AER,Aircraft Dynamics and Control,"Derives the equations of motion for a rigid aircraft and uses them to study longitudinal and lateral-directional stability, trim conditions, and the response to control surface deflection. Classical control techniques, including root locus and frequency response methods, are applied to design simple stability augmentation and autopilot loops. Simulation exercises let students see how stability derivatives shape handling qualities.",LEC,4,3,t,,,,,
AERO-3010,AER,Finite Element Method,"Introduces the finite element method through one-dimensional bar and beam elements before extending to plane stress and plane strain problems in two dimensions. Topics include shape functions, stiffness matrix assembly, boundary condition application, and mesh convergence, worked by hand on small problems before moving to a simple solver. Students leave able to set up and interpret a basic structural finite element model, not just operate a commercial package.",LEC,4,3,t,,,,,
AERO-3015,AER,Computational Methods in Aerospace Engineering,"Numerical methods central to aerospace practice are introduced here: root finding, numerical integration, linear system solvers, and finite-difference approximations to ordinary differential equations, applied to trajectory, structural, and flow problems drawn from the rest of the curriculum. Students write and debug their own short programs rather than relying on packaged solvers, building intuition for where numerical error and instability come from. The course moves quickly into applied numerical work, building directly on prior coursework in calculus and programming.",LEC,4,3,t,,,,,
AERO-3020,AER,Introduction to Turbulent Flow,"Examines how flows transition from laminar to turbulent and the statistical tools engineers use once that transition happens: Reynolds decomposition, the closure problem, boundary layer turbulence, and simple mixing-length models. Classic experiments and flow visualizations anchor the discussion of eddy structure and energy cascade. The course builds physical intuition for turbulence that later coursework in computational fluid dynamics and propulsion takes for granted.",LEC,4,3,t,,,,,
AERO-3025,AER,Aerospace Systems Design,"Takes the systems perspective of the introductory course further into a full conceptual design exercise: weight estimation, mission sizing, configuration trade studies, and the iteration loop between subsystem requirements and vehicle performance. Teams carry a chosen aircraft or small spacecraft concept from a mission statement through a preliminary design review. Written and oral deliverables mirror the milestones used in industry design reviews.",LEC,4,3,t,,,,,
AERO-3030,AER,Aerospace Propulsion,"Surveys the major propulsion types used in flight vehicles: turbojet, turbofan, turboprop, and rocket cycles, analyzed through thermodynamic cycle analysis and thrust and specific impulse calculations. Component-level treatment of inlets, compressors, combustors, and nozzles connects cycle performance to hardware constraints. Problem sets compare cycle choices across flight regimes, from subsonic transport to high-altitude cruise.",LEC,4,3,t,,,,,
AERO-3035,AER,Computational Fluid Dynamics I,"Sets up the numerical building blocks for simulating fluid flow: grid generation on simple geometries, discretization of model equations, and the stability and accuracy trade-offs behind explicit and implicit time-stepping schemes. Students implement small solvers for potential flow and simple boundary-layer problems before touching a production code. Verification against panel-method and analytical solutions builds the habit of checking a simulation before trusting its output.",LEC,4,3,t,,,,,
AERO-4005,AER,Senior Design I,"Teams define a vehicle or subsystem design problem from an open-ended mission statement, working through requirements definition, concept trade studies, and a preliminary design review. Weekly team meetings track progress against a project schedule modeled on industry design gate reviews. The semester ends with a documented preliminary design and a test or analysis plan that the second design course will execute.",LEC,4,4,t,,,,,
AERO-4010,AER,Senior Design II,"Teams carry their preliminary design forward through detailed design, fabrication or simulation, and test or validation against the original mission requirement. Design changes are tracked and justified against the trade studies established in the first semester. The course culminates in a final design review with a written report and an oral defense before a faculty panel.",LEC,4,4,t,,,,,
AERO-4015,AER,Experimental Methods in Aerospace Engineering,"Building on basic instrumentation skills, this course moves into hot-wire anemometry, particle image velocimetry, and high-speed data acquisition for unsteady flow measurement. Students design their own test procedures rather than following a fixed protocol, then defend their methodology in a written report. Signal noise, sensor bandwidth, and calibration drift are treated as engineering problems in their own right, not just sources of error to be tolerated.",LEC,4,4,t,,,,,
AERO-4020,AER,Experimental Methods in Aerospace Engineering Laboratory,"This laboratory moves into supersonic wind tunnel operation, vibration testing of cantilevered beams, and rotor balance measurements on a small-scale propeller rig. Students work in teams to design a test plan for one open-ended experiment chosen from a short list of options, then present findings alongside the standard written report. Instrumentation calibration and schlieren flow visualization round out the toolkit built here. Laboratory companion to AERO-4015.",LAB,2,4,t,,,,,
AERO-4025,AER,Computational Fluid Dynamics II,"Extends numerical flow simulation from simple model equations into full Navier-Stokes solvers: finite volume discretization, upwind schemes, turbulence closure models, and mesh generation for realistic geometries. Students run and post-process simulations of flow over airfoils and simple three-dimensional bodies, comparing solver output against experimental or analytical benchmarks. Grid convergence studies and solution verification are treated as required practice, not optional extras.",LEC,4,4,t,,,,,
AERO-4030,AER,Gas-Turbine Propulsion,"A focused, advanced treatment of gas-turbine engines: compressor and turbine stage design, off-design performance mapping, combustor stability, and the mechanical and thermal constraints that limit real engine operation. Students work through component matching problems that connect thermodynamic cycle choices to achievable hardware performance. Case studies of production engine families illustrate how design trade-offs play out in practice.",LEC,4,4,t,,,,,
AERO-4035,AER,Molecular Gas Dynamics,"Moves beyond continuum gas dynamics into the kinetic theory regime relevant to rarefied and high-altitude flows: the Boltzmann equation, mean free path effects, and the breakdown of continuum assumptions at low density or small length scale. Direct simulation Monte Carlo methods are introduced as the standard computational tool for this regime. Applications include reentry vehicle aerodynamics and low-Earth-orbit drag estimation.",LEC,4,4,t,,,,,
AERO-4040,AER,Multidisciplinary Design Optimization,"Formal optimization methods are applied to problems that span multiple engineering disciplines at once: gradient-based and gradient-free algorithms, sensitivity analysis, surrogate modeling, and the coupling schemes needed when aerodynamic, structural, and propulsion models must be solved together. Students formulate and solve a multidisciplinary optimization problem of their own choosing as the term project. The course emphasizes problem formulation as much as algorithm mechanics.",LEC,4,4,t,,,,,
AERO-4045,AER,Structural Dynamics,"Covers vibration and dynamic response of aerospace structures: modal analysis, forced response to harmonic and transient loading, and the onset of flutter in lifting surfaces. Finite element models built in earlier coursework are extended to include mass and damping matrices for dynamic simulation. Ground vibration testing and frequency response measurement give students a direct check against analytical predictions.",LEC,4,4,t,,,,,
AERO-4050,AER,Solid Mechanics and Aerospace Structures,"A senior-level synthesis of solid mechanics theory and aerospace structural application: three-dimensional stress and strain analysis, failure and fatigue criteria, and design of composite and metallic structures under combined loading. Students work through a structural sizing problem that carries from initial load case definition to a documented margin of safety. The course assumes fluency with thin-walled analysis from earlier structures coursework and pushes into fully three-dimensional treatment.",LEC,4,4,t,,,,,
AERO-4055,AER,Space Systems Design and Management,"Covers the engineering and programmatic side of spacecraft development: orbital mechanics fundamentals, subsystem budgeting for power, thermal, and communications, and the systems engineering processes, including requirements management and review milestones, that govern real space programs. A term-long design project has students produce a mission concept document and a preliminary systems budget for a small satellite. Cost and schedule constraints are treated as design variables, not afterthoughts.",LEC,4,4,t,,,,,
AERO-4060,AER,Special Topics in Flight Dynamics and Control,"Topics rotate by offering and cover current research and advanced practice in flight dynamics and control beyond the core sequence. Recent offerings have included nonlinear flight control, adaptive control for damaged aircraft, and control allocation for unconventional vehicle configurations. Readings are drawn from recent journal literature and paired with a substantial project or paper, and the specific topic changes each time the course is offered.",LEC,4,4,t,,,,,
AERO-4065,AER,Special Topics in Gas Dynamics,"Topics rotate by offering and cover advanced compressible flow subjects not treated in the core gas dynamics sequence. Recent offerings have included hypersonic boundary layers, real-gas effects at high temperature, and detonation wave propagation. Students engage directly with current research papers and complete an independent analysis or computational project on the semester's chosen topic.",LEC,4,4,t,,,,,
CHEM-1005,CHE,Engineering Statistics and Problem Solving,"Applies probability and statistics to engineering data: descriptive statistics, hypothesis testing, regression, and design of experiments, worked through examples drawn from process and quality data rather than abstract problem sets. Students use statistical software to analyze a real or simulated dataset as a term project. The course also introduces structured problem-solving approaches used in engineering practice, including root-cause analysis.",LEC,4,1,t,,,,,
CHEM-2005,CHE,Introduction to Transport Phenomena,"Introduces the unified treatment of momentum, heat, and mass transfer that underlies chemical engineering analysis: shell balances, Fick's and Fourier's laws, and the analogies between the three transport modes. Students derive governing differential equations for simple geometries such as flow between plates or through a pipe before solving them. The course lays the mathematical groundwork for later unit operations and reactor design coursework.",LEC,4,2,t,,,,,
CHEM-2010,CHE,Chemical Engineering Thermodynamics,"Covers the laws of thermodynamics as applied to chemical process systems: energy and entropy balances, equations of state, and phase equilibrium calculations for pure components and simple mixtures. Problem sets move from closed system energy balances to vapor-liquid equilibrium diagrams used in separation design. The course establishes the thermodynamic vocabulary that unit operations and reactor design courses depend on later.",LEC,4,2,t,,,,,
CHEM-2015,CHE,Chemical Engineering Unit Operations I,"Introduces the core unit operations of chemical processing: fluid flow through pipes and pumps, heat exchanger design, and basic mass transfer in separation equipment such as distillation columns. Mass and energy balances anchor every problem set, connecting equipment sizing to the underlying conservation principles. The course builds the calculation habits that later, more specialized unit operations coursework assumes are already automatic.",LEC,4,2,t,,,,,
CHEM-2020,CHE,Chemical Engineering Unit Operations I Laboratory,"Introductory experiments cover fluid flow measurement, heat exchanger performance, and basic separation processes such as distillation on bench-scale apparatus. Each session pairs a safety and procedure briefing with data collection, and students submit formal lab reports comparing measured performance against theoretical models. The course establishes the reporting format, unit conversion discipline, and error propagation used throughout the laboratory sequence. Laboratory companion to CHEM-2015.",LAB,2,2,t,,,,,
CHEM-3005,CHE,Chemical Engineering Unit Operations II,"Extends unit operations into more demanding separation and reaction equipment: multicomponent distillation, absorption and stripping columns, and an introduction to reactor sizing for continuous stirred-tank and plug-flow configurations. Design problems require students to size equipment against a specified production target rather than simply verify given performance. Process simulation software is introduced to check hand calculations against a rigorous model.",LEC,4,3,t,,,,,
CHEM-3010,CHE,Chemical Engineering Unit Operations II Laboratory,"Builds on introductory laboratory skills with more complex unit operations: a packed-bed reactor, a multistage distillation column, and a membrane separation rig. Students work in teams to plan an experimental campaign for one open-ended process problem, then present results alongside a written report benchmarked against a process simulation. Process control loop tuning is introduced for the first time in this sequence. Laboratory companion to CHEM-3005.",LAB,2,3,t,,,,,
CHEM-3015,CHE,Reactor Engineering,"Covers the fundamentals of chemical reactor analysis: rate law determination from kinetic data, design equations for batch, continuous stirred-tank, and plug-flow reactors, and the effects of temperature and mixing on conversion. Non-ideal flow patterns and residence time distribution are introduced to explain deviations from ideal reactor performance. Problem sets emphasize deriving and solving design equations rather than selecting between finished reactor configurations.",LEC,4,3,t,,,,,
CHEM-3020,CHE,Fluid Mechanics,"A rigorous treatment of fluid mechanics fundamentals: the Navier-Stokes equations, dimensional analysis and similarity, laminar and turbulent internal flow, and boundary layer behavior over submerged bodies. Applications are drawn from both process piping systems and open-channel and external flow problems, reflecting the course's shared audience. Problem sets require students to select and justify appropriate simplifying assumptions rather than apply a single fixed method. Cross-listed with CIVL-2010.",LEC,4,3,t,,,,,
CHEM-3025,CHE,Chemical Process Economics,"Covers the economic analysis tools used to evaluate chemical processes: capital and operating cost estimation, time value of money, net present value and rate of return calculations, and sensitivity analysis under price and demand uncertainty. Students build a cost estimate and economic evaluation for a process flowsheet developed in earlier coursework. The course treats economic feasibility as a design constraint on equal footing with technical performance.",LEC,4,3,t,,,,,
CHEM-3030,CHE,Chemical Product Design,"Focuses on formulated and structured products rather than bulk commodity chemicals: consumer products, specialty coatings, and materials where microstructure and formulation drive performance as much as composition. Students work through a product design project from customer need identification to a formulated prototype and a supporting technical justification. Sensory and performance testing methods used in industry are introduced alongside traditional process calculations.",LEC,4,3,t,,,,,
CHEM-3035,CHE,Physics of Polymers,"Covers the physical behavior of polymeric materials: chain conformation and molecular weight distribution, glass transition and crystallization, viscoelasticity, and the rheological measurements used to characterize melt and solution behavior. Problem sets connect molecular structure to bulk mechanical and thermal properties observed in processing. The course serves both chemical engineering and materials students, reflected in its dual listing. Cross-listed with MATL-3065.",LEC,4,3,t,,,,,
CHEM-3040,CHE,Process Dynamics and Control,"Covers the dynamic behavior of chemical processes and the feedback control strategies used to keep them at a desired operating point: first and second order system response, PID controller tuning, and block diagram analysis of open and closed loop systems. Students model a process unit such as a heat exchanger or stirred tank and tune a controller against a stated performance target. Simulation exercises tie tuning choices to overshoot, settling time, and offset in the resulting response. Cascade and feedforward schemes are introduced for processes where simple feedback control falls short.",LEC,4,3,t,,,,,
CHEM-3045,CHE,Research and Special Problems,"Supervised independent work on a chemical engineering problem chosen in consultation with a faculty advisor, ranging from a literature-based analysis to original experimental or computational research. Students submit a short research proposal at the outset and a written technical report at the end of the term. The scope is calibrated to a single semester's effort and does not assume prior research experience.",IND,2,3,t,,,,,
CHEM-4005,CHE,Senior Design I,"The first half of the capstone design sequence, in which student teams develop a complete process flowsheet for an assigned production target: thermodynamic model selection, unit operation sizing, recycle convergence, and heat integration using commercial simulation software. Teams carry the flowsheet from a preliminary concept through a heat-integrated design with a supporting economic evaluation. The course calls for fluent use of the unit operations and thermodynamics coverage from earlier semesters and sets up the reactor and safety work completed in the second half of the sequence.",LEC,4,4,t,,,,,
